date,Bovespa,IBrX100,Merval,IPSA,IGPA,IGBC,IPC_Mexico
2015-10-23,47597,40.220001220703125,11329,3896.030029296875,19064.240234375,9455.6904296875,45010.23828125
2016-02-12,39808,32.97999954223633,11276,3667.469970703125,18031.599609375,8799.16015625,42416.44140625
2014-05-12,54053,44.45000076293945,6843,3920.169921875,19215.939453125,13692.2001953125,42086.171875
2016-05-24,49345,40.36000061035156,12382,3955.469970703125,19511.869140625,9780.419921875,45497.4609375
2014-06-13,54807,44.599998474121094,8047,3863.1298828125,18886.369140625,14260.26953125,42485.66015625
2018-06-01,77240,62.650001525878906,28437,5471.31982421875,27705.23046875,12435.1103515625,45013.12109375
2018-11-27,87891,71.55000305175781,30921,5128.14013671875,26026.609375,12000.490234375,39807.28125
2017-02-13,66968,54.130001068115234,19508,4358.43017578125,21737.169921875,10077.669921875,47661.69140625
2016-10-20,63838,51.900001525878906,18147,4235.27978515625,21159.1796875,10076.75,48274.25
2017-04-27,64677,52.7400016784668,20890,4783.080078125,24038.810546875,10109.0498046875,49440.9609375
2018-10-04,82953,66.68000030517578,30929,5326.1298828125,27088.919921875,12527.4296875,48683.26171875
2019-04-25,96552,78.69999694824219,29557,5170.419921875,26240.1796875,12978,45026.6796875
2018-06-27,70609,56.95000076293945,25921,5276.43994140625,26796.470703125,12250.5,46874.4296875
2015-06-05,52973,43.43000030517578,11216,3967.030029296875,19328.080078125,10307.0400390625,44561.94140625
2018-10-16,85718,68.58000183105469,29431,5144.33984375,26253.630859375,12445.8603515625,48191.5703125
2017-12-11,72800,59.36000061035156,27307,5018.669921875,25211.150390625,11068.7802734375,47699.0390625
2013-05-02,55322,42.529998779296875,3843,4309.39990234375,21161.869140625,13414.91015625,42090.01171875
2016-05-13,51804,42.54999923706055,13122,4002.719970703125,19662.2890625,9993.8095703125,45402.46875
2014-07-18,57013,46.20000076293945,8662,3945.35009765625,19209.919921875,13943.6396484375,44278.8984375
2018-05-18,83082,66.8499984741211,31870,5667.85986328125,28679.66015625,12127.2197265625,45666.76953125
2016-09-30,58367,47.75,16676,4015.25,20046.48046875,9847.2099609375,47245.80078125
2016-07-22,57002,46.7400016784668,15847,4143.81005859375,20450.849609375,9873.0302734375,47537.28125
2015-08-13,48010,39.599998474121094,11675,3813.340087890625,18573.779296875,9750.0302734375,43870.53125
2017-12-18,73115,59.59000015258789,27137,5595.64990234375,28060.9296875,11099.5703125,48634.5390625
2016-06-29,51002,41.400001525878906,14608,3978.489990234375,19647.189453125,9757.9599609375,45466.37109375
2016-03-28,50838,41.70000076293945,12876,3884.419921875,19047.98046875,9639.6201171875,45623.48046875
