nombre_colegio,departamento_colegio,municipio_colegio,area_colegio,sector_colegio,lectura_critica,matematicas,sociales,ciencias,ingles,global,n_estudiantes
acad pantano de vargas,cundinamarca,fusagasugá,urbano,no oficial,56.7435897435898,55.2307692307692,53.5128205128205,54.8974358974359,57.4615384615385,276.461538461538,39
acade milit joaquín de caicedo y cuero,valle,cali,urbano,no oficial,53.9230769230769,53.1538461538462,45.3846153846154,48.8461538461539,55.6923076923077,253.846153846154,13
academia academia sam,valle,tuluá,urbano,no oficial,52.1428571428572,46.4285714285714,43.2857142857143,46,50.8333333333333,235.428571428571,7
academia corpetrol,huila,neiva,urbano,no oficial,48.6078431372549,45.2549019607843,43.0980392156863,44.7843137254902,45.6078431372549,227.235294117647,51
academia general carlos julio gil colorado,valle,tuluá,urbano,no oficial,55,48.8571428571429,46.5714285714286,46.6428571428572,48.7857142857143,246.214285714286,14
academia gustavo rojas pinillas,cordoba,montería,urbano,no oficial,58.0384615384616,54.1153846153846,55.5,53.9230769230769,57.0769230769231,277.576923076923,26
academia internacional de estudios tecnicos aies,magdalena,santa marta,urbano,no oficial,48.8,43.6,43.5,43.1,47.2,224.7,10
academia militar coronel jose maria tello,huila,pitalito,rural,no oficial,60.3333333333333,53,59.3333333333333,55.3333333333333,54.6666666666667,284,3
academia militar general custodio garcia rovira,caldas,villamaría,urbano,no oficial,52.1428571428572,49.2857142857143,46.7142857142857,48.4285714285714,50.2857142857143,246.285714285714,7
academia militar general jose antonio anzoategui,huila,neiva,urbano,no oficial,55.24,55.14,46.8,50.52,54,260.42,50
academia militar gral tomas cipriano de mosquera,cauca,popayán,urbano,no oficial,61.8,68.8,57.4666666666667,62.4666666666667,60.5333333333333,312.4,15
academia militar gustavo matamoros d costa,cauca,popayán,urbano,no oficial,54.9375,53.4375,53,55.1875,55.875,271.375,16
academia militar jose antonio paez,casanare,yopal,urbano,no oficial,61.5625,59.0625,55.6875,55.3125,56.375,289,16
academia militar jose antonio paez,meta,villavicencio,urbano,no oficial,52.3076923076923,48.7692307692308,48.6153846153846,49.6153846153846,49.6923076923077,249.230769230769,13
academico,valle,cartago,urbano,oficial,52.3194444444444,50.6736111111111,47.7013888888889,48.0347222222222,49.7986111111111,248.451388888889,144
alfonso lopez pumarejo,valle,cartago,urbano,oficial,51.7931034482759,49.448275862069,46.2413793103448,49.4137931034483,48.1666666666667,245.620689655172,29
alfredo vasquez cobo,valle,buenaventura,rural,oficial,42,38,38,37,45,196,1
alto yuma,huila,pitalito,urbano,no oficial,50.2,48.0666666666667,46.3333333333333,45.2666666666667,45.8,236.733333333333,15
american school saint frances,boyaca,tunja,urbano,no oficial,69.1764705882353,72.764705882353,68.2352941176471,67,72.4117647058824,347.705882352941,17
antonio holguin garces,valle,cartago,urbano,oficial,51.5483870967742,46.7096774193548,45.6967741935484,44.6838709677419,45.6129032258065,235.174193548387,155
antonio jose de sucre,valle,buenaventura,rural,oficial,50.2857142857143,43.7142857142857,39,43,39.8571428571429,218.428571428571,7
antonio nariño,valle,buenaventura,urbano,oficial,44.8372093023256,40.3255813953488,36.4186046511628,40.6279069767442,42.5813953488372,203.604651162791,43
arete,bogotá,bogotá d.c.,urbano,no oficial,57.9090909090909,54.1818181818182,52.5454545454546,52.0909090909091,70.8181818181818,277.363636363636,11
asoc educ col arango y cuero,valle,cali,urbano,no oficial,48.7777777777778,41.6666666666667,40.7777777777778,43.3333333333333,46.8888888888889,219.444444444444,9
